Owner,representative_latitude,representative_longitude,number_of_plants
Action Ispat and Power Pvt Ltd,21.839759,83.982227,1
Adhunik Metaliks Ltd,22.308371,84.763584,1
Aichi Steel Corp,35.044558,136.900772,1
Angang Lianzhong Stainless Steel Corp,23.126822,113.505817,1
Angang Steel Co Ltd,40.99523533333333,121.82794233333334,3
Anhui Changjiang Steel Co Ltd,31.502272,118.465162,1
Anhui Guihang Special Steel Co Ltd,30.531068,117.251147,1
Anhui Jin'an Stainless Steel Foundry Co Ltd,31.763956,115.924372,1
Anhui Jingxian Longxin Iron and Steel Co Ltd,30.709058,118.436638,1
Anhui Langxi County Fuhang Steel Co Ltd,31.246635,119.120443,1
Anhui Shoukuang Dachang Metal Material Co Ltd,32.329171,115.954963,1
Anshan Baode Iron & Steel Co Ltd,41.173613,122.945501,1
Anyang Huixin Special Steel Co Ltd,36.152418,114.15839,1
Anyang Iron & Steel Co Ltd,36.122129,114.283145,1
Anyang Xinpu Steel Co Ltd,36.163203,114.296223,1
Anyuan Iron & Steel Co Ltd,27.64555,113.902126,1
ArcelorMittal Nippon Steel India Ltd,19.9366314,81.6597356,5
ArcelorMittal SA,15.139498,76.918417,1
Arjas Steel Pvt Ltd,14.873471,78.048425,1
Atibir Industries Co Ltd,24.145239,86.334999,1
BERIS Jiangsu Heavy Industry Co Ltd,32.104319,119.792126,1
BMM Ispat Ltd,15.16972,76.37971,1
BPA Metallics Pvt Ltd,21.926993,83.374089,1
Baicheng Fuda Bar Rolling Co Ltd,45.593303,122.895588,1
Baldota Steel and Power Ltd,15.332616,76.206778,1
Baoshan Iron & Steel Co Ltd,31.41623,121.440087,1
Baosteel Desheng Stainless Steel Co Ltd,26.48747,119.654461,1
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,43.852147,87.304639,1
Baosteel Special Metals Co Ltd,31.379422,121.484652,1
Baosteel Zhanjiang Iron & Steel Co Ltd,21.056035,110.48657,1
Baotou Baoxin Special Steel Co Ltd,41.362925,110.988771,1
Baotou DA AN IRON&STEEL Co Ltd,40.688731000000004,109.75999300000001,2
Baotou Deshun Spec. Steel Co Ltd,40.9019,110.336253,1
Baotou Jiyu Steel Co Ltd,40.662343,109.696243,1
Baowu Group Echeng Iron & Steel Co Ltd,30.39574,114.861313,1
Beijing Shougang Co Ltd,39.976702,118.558788,1
Bengang Steel Plates Co Ltd,41.274132,123.722099,1
Benxi Beiying Iron & Steel (GROUP) Co Ltd,41.224814,123.608374,1
Bhagyalaxmi Metals Pvt Ltd,20.088919,79.71792,1
Bhushan Power & Steel Ltd,22.665526,85.64622,1
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,38.289221,117.814367,1
Cangzhou Lingang Sanling Metal Co Ltd,38.311738,117.457779,1
Captain Steel India Ltd,23.319004303795843,87.09046517280512,2
Changli Xingguo Precision Machinery Co Ltd,39.704921,118.897417,1
Changshu Longteng Special Steel Co Ltd,31.723833,120.835685,1
Changzhou Dongfang Special Steel Co Ltd,31.602554,119.724256,1
Chengde Jianlong SPECIAL Steel Co Ltd,40.515035,117.596071,1
Chengde Shengfeng Iron & Steel Co Ltd,40.622466,118.490845,1
Chengde Street Ltd,40.947707,117.719747,1
Chengde Zhaofeng Steel Group Co Ltd,40.593875,118.633334,1
Chengdu Changfeng Steel Group Co Ltd,31.031921,103.672956,1
Chengyu Vanadium & Titanium Technology Co Ltd,29.732143,104.504339,1
Chifeng Yuanlian Steel Co Ltd,42.278115,119.015289,1
Chifeng Zhongtang Special Steel Co Ltd,41.834064,119.281883,1
Chizhou Guichi Guihang Metal Products Co Ltd,30.532786,117.25166,1
Chongli Steel Manufacturing Co Ltd,36.602468,113.755744,1
Chongqing Iron & Steel Co Ltd,29.790253,107.040368,1
Chongqing Pengcheng Steel Co Ltd,29.259699,106.214031,1
Chongqing Yonghang Steel Group Co Ltd,29.836163,106.988138,1
Chongqing Yuxi Iron & Steel (Group) Co Ltd,29.488759,105.862658,1
Chongqing Zuhang Steel Co Ltd,29.440056,105.741929,1
Chubu Steel Plate Co Ltd,35.118836,136.867567,1
Crest Steel and Power Pvt Ltd,21.190313,81.19922,1
DELONG Steel Ltd,37.086116,114.384832,1
Daido Steel Co Ltd,35.016404,136.864744,1
Danyang Longjiang Steel Co Ltd,32.027791,119.57706,1
Daye Huaxin Industrial Co Ltd,30.070219,114.926251,1
Daye SPECIAL Steel Co Ltd,30.204603,115.125838,1
Dazhou Hangda Steel Co Ltd,31.435149,107.685981,1
Dongbei Special Steel Group Dalian Special Steel Co Ltd,39.193697,122.057788,1
Dongyuan Dongnan Industrial Co Ltd,24.038397,114.873435,1
ESL Steel Ltd,23.632907,86.293671,1
Electrosteel Castings Ltd,13.717188,79.630588,1
Evonith Metallics Ltd,20.700508499999998,78.62942050000001,2
Ezhou Hongtai Steel Co Ltd,30.532352,114.747597,1
Fangchenggang Jinxi Steel Technology Co Ltd,21.646525,108.369582,1
Fangda Special Steel Technology Co Ltd,28.645441,115.99204,1
Fengshun Changsheng Precision Steel Casting Co Ltd,23.507015,112.953822,1
Fengshun County Agricultural Machinery Continuous Casting Co,23.748318,116.13985,1
Fengshun County Dongfang Metal Casting Co Ltd,23.749104,116.138262,1
Fengshun County Hongbao Industrial Co Ltd,23.720136,115.949449,1
Fengshun Yongshun Continuous Casting Plant,23.747173,116.126241,1
Fogang Dawei Special Steel Co Ltd,23.893972,113.500829,1
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",44.022802,125.505627,1
Fujian Dingsheng Steel Co Ltd,27.224477,120.328828,1
Fujian Dingxin Industry Co Ltd,26.7695,119.738519,1
Fujian Fuxin Special Steel Co Ltd,24.472439,117.94885,1
Fujian Great Dong Hai Industrial Group Co Ltd,25.737777,119.592239,1
Fujian Hongfeng Industrial Group Co Ltd,26.868423,117.776369,1
Fujian Longgang New Materials Co Ltd,25.357408,117.362096,1
Fujian Luoyuan Minguang Iron & Steel Co Ltd,26.483815,119.67105,1
Fujian Qingtuo New Material Co Ltd,26.779301,119.767935,1
Fujian San'an Iron & Steel Co Ltd,25.244396,118.029905,1
Fujian Sanbao Steel Co Ltd,24.635769,117.603677,1
Fujian Tsingtuo Nickel Industry Co Ltd,26.768925,119.765203,1
Fujian Wuhang Stainless Steel Products Co Ltd,25.95923,119.452018,1
Fujian Yixin Steel & Iron Co Ltd,26.491308,119.63624,1
Fulun Iron & Steel Co Ltd,36.308447,117.540425,1
Fushun HANWANG Direct Reduced Iron Co Ltd,41.670998,123.85143,1
Fushun New Steel Corp Ltd,41.841223,123.753895,1
Fushun Special Steel Co Ltd,41.838774,123.806586,1
Fuzhou Wuhang Steel Products Co Ltd,25.995101,119.495725,1
Gallantt Ispat Ltd,26.757009,83.199086,1
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,39.812121,98.295555,1
Gaolan County Lanxin Steel Co Ltd,36.488866,103.922,1
Godawari Power and Ispat Ltd,21.470623,81.7106675,2
Godo Steel Ltd,35.057881,136.68735066666667,3
GuangDong Xinxing Ductile Iron Pipes Co Ltd,22.09914,111.665479,1
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",31.0494162,119.5296269,1
Guangdong Daxing Iron & Steel Industrial Co Ltd,23.529158,116.329247,1
Guangdong Fogang Jincheng Metal Products Co Ltd,23.741965,113.502168,1
Guangdong Guangqing METAL Technology Co Ltd,21.697069,111.848841,1
Guangdong Guangqing Metal Technology Co Ltd,31.980237,120.571455,1
Guangdong Guixin Steel Co Ltd,23.517109,113.106865,1
Guangdong Guoxin Industrial Co Ltd,23.407415,116.570818,1
Guangdong Hongde Steel Group Co Ltd,24.672351,113.535574,1
Guangdong Jingye Iron and Steel Co Ltd,23.454666,116.498483,1
Guangdong Jinshenglan Metallurgical Technology Co Ltd,22.888729,112.263081,1
Guangdong Nanfang Donghai Iron and Steel Co Ltd,22.907614,112.224952,1
Guangdong Shengye Steel Co Ltd,24.008564,114.797328,1
Guangdong Shiji Qingshan Nickel Industry Co Ltd,21.687053,111.848893,1
Guangdong Taidu Iron & Steel Co Ltd,23.504558,112.962693,1
Guangdong Taiye Hongda Steel Co Ltd,23.54332928798603,112.9908240744354,1
Guangdong Yuebei United Steel Co Ltd,24.262452,113.728198,1
Guangdong Yuedong Steel Co Ltd,23.711585,114.689761,1
Guangdong Yuehua Iron & Steel Group Co Ltd,24.275783,113.388896,1
Guangdong Yueshao Iron & Steel Co Ltd,24.688355,113.657408,1
Guangdong Zhanhong Steel Plant,23.037858,114.970593,1
Guangshui Huaxin Smelt Industry Co Ltd,31.50221,114.008142,1
Guangxi BG New Materials Co Ltd,21.519924,109.506427,1
Guangxi Chiji Iron and Steel Co Ltd,23.402121,111.134606,1
Guangxi Deyuan Metallurgy Co Ltd,22.785653,109.11917,2
Guangxi Guigang Iron and Steel Group Co Ltd,23.088182,109.634638,1
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,23.089502,109.63938,1
Guangxi Guixin Steel Group Co Ltd,23.978962,111.735523,1
Guangxi Hezhou Kexinda Metal Products Co Ltd,23.979937,111.745037,1
Guangxi Iron and Steel Group Co Ltd,21.580723,108.400896,1
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,21.67261,109.741866,1
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,23.1567485,109.43017850000001,2
Guangxi Shenglong Metallurgical Co Ltd,21.687637,108.412344,1
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,23.518229,111.235509,1
Guilin Pinggang Iron and Steel Co Ltd,24.673567,110.78959,1
Guizhou Ganglian Industrial Group Co Ltd,27.615147,106.949926,1
Guizhou Hexing Metal Products Co Ltd,26.509525,107.570458,1
Guizhou United Steel (Group) Co Ltd,27.591691,106.814024,1
HBIS Laoting Steel Co Ltd,39.257823,119.033567,1
Haicheng Hengsheng Casting Co Ltd,41.057478,122.8328,1
Handan Iron and Steel Group Co Ltd,36.601308,114.439889,1
Hanshan Iron and Steel Co Ltd,36.685881,113.837073,1
Hbzx HIGH Tech Co Ltd,40.607977,115.067516,1
Hebei Anfeng Iron & Steel Co Ltd,39.65849,118.894804,1
Hebei Baoxin Iron and Steel Group Co Ltd,36.555205,114.108273,1
Hebei Donghai SPECIAL Steel Group Co Ltd,39.610605,118.474722,1
Hebei Guanfeng Metallurgical Industry Co Ltd,36.73422,114.111085,1
Hebei Huaxi Special Steel Co Ltd,39.260784,119.005925,1
Hebei Huaxin Special Steel Co Ltd,36.53048,114.245262,1
Hebei Jingdong Pipe Industry Co Ltd,39.932656,118.836844,1
Hebei Jinxi Iron & Steel Group Co Ltd,40.209844,118.220547,1
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,36.664097,114.115263,1
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,36.640411,113.981172,1
