Owner,total_capacity,number_of_plants,average_litpop,number_of_countries,number_of_regions
JSW Steel Ltd,50935.0,5,390503654.86848414,1,1
Steel Authority of India Ltd,43591.0,8,3249196970.62921,1,1
Jindal Steel Odisha Ltd,42670.0,1,322827125.6345241,1,1
Jindal Steel Limited Ltd,39710.0,5,374314226.8259558,1,1
Rungta Mines Ltd,34955.0,5,307628533.1210734,1,1
Tata Steel Ltd,33787.0,5,1952889413.1808407,1,1
JSW Jharkhand Steel Ltd,29600.0,1,22085261.29316944,1,1
Maanshan Iron & Steel Co Ltd,25540.0,1,14161932205.740225,1,1
JSW Utkal Steel Ltd,24775.0,1,105160684.6244372,1,1
Nippon Steel Corp,24078.0,10,13660373521.624287,1,1
Qian'an City Jiujiang Wire Co Ltd,20800.0,1,1205952791.2560177,1,1
Baosteel Zhanjiang Iron & Steel Co Ltd,18506.0,1,1178377706.3453572,1,1
Hebei Jinxi Iron & Steel Group Co Ltd,16840.0,1,251849587.08247745,1,1
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,16450.0,1,9319315191.657978,1,1
Orissa Metaliks Pvt Ltd,15900.0,3,2205613025.7592883,1,1
Uttam Galva Ferous Ltd,15272.0,1,354990517.4078579,1,1
Rashtriya Ispat Nigam Ltd,14301.0,1,4255549611.1018696,1,1
Guangxi Iron and Steel Group Co Ltd,14230.0,1,226557645.65927386,1,1
Hunan Valin Lianyuan Iron and Steel Co Ltd,14000.0,2,4608518568.66061,1,1
Sansteel Minguang Co Ltd Fujian,13833.0,1,3154692864.404899,1,1
Zenith Steel Group Co Ltd,12800.0,1,18149919723.49238,1,1
Kobe Steel Ltd,12647.0,2,34081805321.518963,1,1
Lianfeng Steel (Zhangjiagang) Co Ltd,12000.0,1,3289812339.6058364,1,1
Tonghua Iron & Steel Co Ltd,11427.0,1,601217158.3271072,1,1
Hebei Puyang Iron and Steel Co Ltd,10416.0,1,313791587.31473416,1,1
Tianjin Iron PLANT Co Ltd,10110.0,1,1279452525.6709294,1,1
Chengde Zhaofeng Steel Group Co Ltd,10000.0,1,25938154.368309747,1,1
Qinhuangdao Hongxing Iron & Steel Co Ltd,9850.0,1,853581286.6142415,1,1
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,9500.0,1,7871975322.062651,1,1
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,9300.0,1,438464931.03294915,1,1
Tianjin Iron and Steel Group Co Ltd,8860.0,1,7120436820.791538,1,1
HBIS Laoting Steel Co Ltd,8803.0,1,658638310.9064554,1,1
NMDC Steel Ltd,8426.0,2,166213907.73032075,1,1
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,8300.0,1,1597397963.2435653,1,1
Lloyds Metals and Energy Ltd,8000.0,2,124927907.9499686,1,1
Tangshan Guotang Steel Co Ltd,7710.0,1,658638310.9064554,1,1
Wuhu Xinxing Ductile Iron Pipes Co Ltd,7480.0,1,1042494789.8844099,1,1
Ningxia Jianlong Special Steel Co Ltd,7300.0,1,698923464.9402945,1,1
Shyam Metalics and Energy Ltd,7110.0,2,508460503.06881213,1,1
Godawari Power and Ispat Ltd,7100.0,2,919900210.3246052,1,1
Jayaswal Neco Industries Ltd,6900.0,1,1676028759.8407507,1,1
ArcelorMittal Nippon Steel India Ltd,6830.0,5,1028284804.7500484,1,1
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,6763.0,1,477468708.0493724,1,1
Welspun Corp Ltd,6650.0,1,786684238.6823866,1,1
Hebei Tangyin IRON&STEEL Co Ltd,6500.0,2,6582094224.79956,1,1
Tangshan Ganglu Iron & Steel Co Ltd,6451.0,1,392661136.5966965,1,1
Orissa Steel & Power Pvt Ltd,6400.0,1,47335285.52206003,1,1
Sichuan Dazhou Iron & Steel Group Co Ltd,6400.0,1,10197981456.470524,1,1
Rashmi Green Hydrogen Steel Pvt Ltd,6200.0,1,1986124537.7752411,1,1
Jinding Heavy Industries Co Ltd,6000.0,1,2791499561.2492723,1,1
Hebei Anfeng Iron & Steel Co Ltd,5900.0,1,301142693.52749974,1,1
Inner Mongolia BaoTou Steel Union Co Ltd,5810.0,1,563557793.4713724,1,1
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,5796.0,1,10311114379.091043,1,1
JSW Vijayanagar Metallics Ltd,5750.0,1,334841572.46645224,1,1
BMM Ispat Ltd,5700.0,1,326466748.184155,1,1
Heilongjiang Jianlong Iron and Steel Co Ltd,5440.0,1,125175844.19061546,1,1
Jiangsu Shente Steel Corp,5400.0,1,5294448729.56292,1,1
Xindia Steels Ltd,5200.0,1,185356174.34875867,1,1
Ningbo Iron & Steel Co Ltd,5158.0,1,7787131930.195617,1,1
Hubei Jinshenglan Metallurgical Technology Co Ltd,4800.0,1,96700424.06712171,1,1
Qinhuangdao Baigong Steel Co Ltd,4200.0,1,1644959560.7920702,1,1
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,4166.0,1,4165354036.0691886,1,1
Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,4000.0,2,3553105312.443734,1,1
Fangda Special Steel Technology Co Ltd,3843.0,1,30850521591.191532,1,1
Linyi Iron and Steel Investment Group Co Ltd,3840.0,1,212520272.51501238,1,1
Shanxi Liheng Iron and Steel Co Ltd,3700.0,1,747390169.8949468,1,1
Guangxi BG New Materials Co Ltd,3400.0,1,490660026.3866026,1,1
JSW Ispat Special Products Ltd,3380.0,1,213067224.22470316,1,1
ESL Steel Ltd,3244.0,1,1365011682.389793,1,1
Honghe Iron and Steel Co Ltd,3200.0,1,1145833787.5269697,1,1
Kalyani Steels Ltd,3180.0,1,319583186.94651854,1,1
Qinglong Manzhu Autonomous County Delong Casting Industry Development Co Ltd,3050.0,1,14286152.175898882,1,1
Baosteel Desheng Stainless Steel Co Ltd,2960.0,1,53661889.35483706,1,1
Shri Bajrang Power and Ispat Ltd,2900.0,1,450845929.98527956,1,1
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",2800.0,1,181895609.9521647,1,1
Shyam Steel Industries Ltd,2792.0,1,363171012.67553264,1,1
Rashmi Metaliks Ltd,2700.0,2,2729308041.8371925,1,1
Jiugang Group Yuzhong Iron & Steel Co Ltd,2628.0,1,167993672.70306432,1,1
Zhongpu (Handan) Iron and Steel Co Ltd,2623.0,1,296202759.7826058,1,1
Neelachal Ispat Nigam Ltd,2590.0,1,864289310.3874147,1,1
MSP Steel & Power Ltd,2450.0,1,122199505.11316605,1,1
Anshan Baode Iron & Steel Co Ltd,2395.0,1,4381066890.384275,1,1
Daye Huaxin Industrial Co Ltd,2320.0,1,1002488417.5250294,1,1
Danyang Longjiang Steel Co Ltd,2300.0,1,5805245295.940704,1,1
Fujian Luoyuan Minguang Iron & Steel Co Ltd,2230.0,1,53661889.35483706,1,1
DELONG Steel Ltd,2216.0,1,676290293.567939,1,1
Xinjiang Kunyu Lron & Steel Co Ltd,2100.0,1,499486217.0650745,1,1
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,2074.0,1,31013010.919899933,1,1
Kapila Metals Pvt Ltd,2000.0,1,100155279.26306468,1,1
Hebei Baoxin Iron and Steel Group Co Ltd,2000.0,1,1340340843.3454995,1,1
Shandong Guangfu Group Co Ltd,1900.0,1,833477595.0387985,1,1
Jai Balaji Industries Ltd,1858.0,2,675745315.8269312,1,1
Jiangyin Huaxi Steel Co Ltd,1850.0,1,10086515908.61508,1,1
Chengde Jianlong SPECIAL Steel Co Ltd,1805.0,1,277866579.7444777,1,1
Tongling City Xuanli Special Steel Co Ltd,1757.0,1,322755495.5135918,1,1
Prakash Industries Ltd,1650.0,1,465552274.1725282,1,1
Jai Balaji Jyoti Steels Ltd,1600.0,1,94945328.67570616,1,1
Evonith Metallics Ltd,1500.0,2,428413959.05805874,1,1
Crest Steel and Power Pvt Ltd,1400.0,1,1306781871.7744355,1,1
Jianlong Xilin Iron and Steel Co Ltd,1400.0,1,10642384.938641924,1,1
Anhui Changjiang Steel Co Ltd,1375.0,1,2369022303.7466125,1,1
Vedanta Iron and Steel Ltd,1322.0,1,607137556.302787,1,1
Shanxi HONGDA Iron and Steel Group Co Ltd,1300.0,1,250634379.58227268,1,1
Atibir Industries Co Ltd,1280.0,1,510655890.86209947,1,1
Anhui Shoukuang Dachang Metal Material Co Ltd,1200.0,1,26192474.427464876,1,1
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,1200.0,1,221366537.43015066,1,1
Jiangsu Xusteel Group Co Ltd,1200.0,1,536146471.99254227,1,1
Shanxi Meijin Iron and Steel Co Ltd,1200.0,2,2089291270.347642,1,1
Surjagad Ispat Pvt Ltd,1200.0,1,1744300.2223284245,1,1
Tangshan Donghai Iron and Steel Group Co Ltd,1200.0,1,770999040.1643324,1,1
Fulun Iron & Steel Co Ltd,1100.0,1,792299266.5563575,1,1
Chengyu Vanadium & Titanium Technology Co Ltd,1100.0,1,69319122.10205877,1,1
Tianjin Pipe Corp,1032.0,1,7120436820.791538,1,1
Jiangsu Delong Nickel Industry Co Ltd,1000.0,1,890142435.6329616,1,1
Fujian Tsingtuo Nickel Industry Co Ltd,1000.0,1,11794218.386546498,1,1
Shiheng SPECIAL Steel Group Co Ltd,1000.0,1,1341653440.6361408,1,1
Shanxi Zhongyang Iron & Steel Co Ltd,1000.0,1,320338051.3482251,1,1
Swadesh Metallics Pvt Ltd,1000.0,1,194558399.93739942,1,1
Chongli Steel Manufacturing Co Ltd,800.0,1,475205331.7791578,1,1
Xining Special Steel Co Ltd,800.0,1,3718700727.8378444,1,1
Gallantt Ispat Ltd,792.0,1,881769082.2374166,1,1
Electrosteel Castings Ltd,780.0,1,142335900.08133274,1,1
Mesco Kalinga Steel Ltd,770.0,1,864289310.3874147,1,1
JFE Steel Corp,720.0,5,78559959627.55774,1,1
Hospet Steels Ltd,700.0,1,204245873.82605147,1,1
Jindal Stainless Ltd,680.0,3,3568032814.4749894,1,1
Arjas Steel Pvt Ltd,650.0,1,216622786.99645334,1,1
"Xinyang Iron & Steel Co.,ltd of Angang Group",600.0,1,382250327.83036226,1,1
Shaanxi Hanzhong Iron & Steel Group Co,600.0,1,554486726.9337088,1,1
Hbzx HIGH Tech Co Ltd,584.0,1,11073664760.627905,1,1
Shakambhari Ispat & Power Ltd,396.0,1,740366725.9212388,1,1
Sunflag Iron and Steel Co Ltd,364.0,1,158719364.06818208,1,1
KIC Metaliks Ltd,360.0,1,1554639245.0040002,1,1
Guangdong Guangqing METAL Technology Co Ltd,300.0,1,546325381.749661,1,1
Fujian Dingxin Industry Co Ltd,300.0,1,11794218.386546498,1,1
Tata Metaliks Ltd,233.0,1,2985882028.961829,1,1
Yun County Rongfeng Rolling Mill Factory,0.0,1,2868377109.874325,1,1
Yingkou Iron & Steel Co Ltd,0.0,1,758099574.9849542,1,1
Yazdani Steel and Power Ltd,0.0,1,864289310.3874147,1,1
Guangdong Zhanhong Steel Plant,0.0,1,33770610.58382256,1,1
Guangdong Yueshao Iron & Steel Co Ltd,0.0,1,2904267538.2436757,1,1
Guangdong Yuehua Iron & Steel Group Co Ltd,0.0,1,386008960.44992363,1,1
Guangdong Yuedong Steel Co Ltd,0.0,1,10381673523.067602,1,1
Guangdong Yuebei United Steel Co Ltd,0.0,1,114780320.39245096,1,1
Guangdong Taiye Hongda Steel Co Ltd,0.0,1,1746497357.0257854,1,1
Guangdong Taidu Iron & Steel Co Ltd,0.0,1,1746497357.0257854,1,1
Guangdong Shiji Qingshan Nickel Industry Co Ltd,0.0,1,546325381.749661,1,1
Guangdong Shengye Steel Co Ltd,0.0,1,106278554.73135719,1,1
Guangdong Nanfang Donghai Iron and Steel Co Ltd,0.0,1,194781090.93254027,1,1
Guangdong Jinshenglan Metallurgical Technology Co Ltd,0.0,1,288572450.6037076,1,1
Guangdong Jingye Iron and Steel Co Ltd,0.0,1,7797595936.055308,1,1
Guangdong Hongde Steel Group Co Ltd,0.0,1,2371893017.6045723,1,1
Guangdong Guoxin Industrial Co Ltd,0.0,1,4977101905.5661955,1,1
Guangdong Guixin Steel Co Ltd,0.0,1,1383225148.037752,1,1
Guangdong Guangqing Metal Technology Co Ltd,0.0,1,5052871258.0219145,1,1
Fujian Yixin Steel & Iron Co Ltd,0.0,1,136966250.464103,1,1
Guizhou Hexing Metal Products Co Ltd,0.0,1,30310794.301979743,1,1
Guizhou Ganglian Industrial Group Co Ltd,0.0,1,3047624310.877063,1,1
Guilin Pinggang Iron and Steel Co Ltd,0.0,1,33714093.6953855,1,1
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,0.0,1,607979569.3111423,1,1
Guangxi Shenglong Metallurgical Co Ltd,0.0,1,954514098.9683073,1,1
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,0.0,2,14775761.727532735,1,1
Guangxi Hezhou Kexinda Metal Products Co Ltd,0.0,1,90031801.82740928,1,1
Guangxi Guixin Steel Group Co Ltd,0.0,1,90031801.82740928,1,1
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,0.0,1,6503602261.824279,1,1
Guangxi Guigang Iron and Steel Group Co Ltd,0.0,1,6503602261.824279,1,1
Guangxi Deyuan Metallurgy Co Ltd,0.0,2,271821385.1967023,1,1
Guangxi Chiji Iron and Steel Co Ltd,0.0,1,105313275.99139243,1,1
Guangshui Huaxin Smelt Industry Co Ltd,0.0,1,39099648.249599755,1,1
Hanshan Iron and Steel Co Ltd,0.0,1,296202759.7826058,1,1
Handan Iron and Steel Group Co Ltd,0.0,1,34430628965.986046,1,1
Haicheng Hengsheng Casting Co Ltd,0.0,1,722648668.565372,1,1
Guizhou United Steel (Group) Co Ltd,0.0,1,288427354.33009654,1,1
Guangdong Fogang Jincheng Metal Products Co Ltd,0.0,1,92889374.35438424,1,1
Guangdong Daxing Iron & Steel Industrial Co Ltd,0.0,1,13690835436.783312,1,1
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",0.0,1,60598213.36689451,1,1
GuangDong Xinxing Ductile Iron Pipes Co Ltd,0.0,1,126961940.125218,1,1
Godo Steel Ltd,0.0,3,176002564914.40576,1,1
Gaolan County Lanxin Steel Co Ltd,0.0,1,4705947.349746395,1,1
Fuzhou Wuhang Steel Products Co Ltd,0.0,1,6512786661.363352,1,1
Fushun Special Steel Co Ltd,0.0,1,8540543698.927486,1,1
Fushun New Steel Corp Ltd,0.0,1,8540543698.927486,1,1
Fushun HANWANG Direct Reduced Iron Co Ltd,0.0,1,26636182.46122891,1,1
Hebei Xinghua Iron and Steel Co Ltd,0.0,1,2791499561.2492723,1,1
Hebei Xinda Iron and Steel Co Ltd,0.0,1,796505445.106471,1,1
Hebei Wenfeng STEEL&IRON Co Ltd,0.0,1,1570133414.6514165,1,1
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,0.0,1,658638310.9064554,1,1
Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd,0.0,1,4568324809.945682,1,1
Hebei Taihang Iron and Steel Group Co Ltd,0.0,1,383769388.9911753,1,1
Hebei Rongxin Iron & Steel Co Ltd,0.0,1,796505445.106471,1,1
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,0.0,1,2791499561.2492723,1,1
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,0.0,1,188809636.46592227,1,1
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,0.0,1,1570133414.6514165,1,1
Hebei Jingdong Pipe Industry Co Ltd,0.0,1,177055102.2953652,1,1
Hebei Huaxin Special Steel Co Ltd,0.0,1,1439683054.8066726,1,1
Hebei Huaxi Special Steel Co Ltd,0.0,1,658638310.9064554,1,1
Hebei Guanfeng Metallurgical Industry Co Ltd,0.0,1,2791499561.2492723,1,1
Hebei Donghai SPECIAL Steel Group Co Ltd,0.0,1,1222250055.6719754,1,1
Heyuan Derun Steel Co Ltd,0.0,2,5199836757.785021,1,1
Heping Yueshen Steel Industrial Co Ltd,0.0,1,922848789.0805657,1,1
Hengyang Valin Steel Tube Co Ltd,0.0,1,8841440925.872505,1,1
Henan YAXIN Steel Industry Co Ltd,0.0,1,1630271672.3960836,1,1
Henan Xinjinhui Stainless Steel Industry Co Ltd,0.0,1,797364861.8664675,1,1
Henan Jiyuan Iron & Steel (Group) Co Ltd,0.0,1,3421395276.0751696,1,1
Henan Fuhua Iron & Steel Group Co Ltd,0.0,1,3251997907.564753,1,1
Henan Fengbao SPECIAL Steel Co Ltd,0.0,1,1250100343.4634068,1,1
Henan Changtai Stainless Steel Plate Co Ltd,0.0,1,3849360572.403314,1,1
Henan Angang Zhoukou Iron and Steel Co Ltd,0.0,1,1216482444.7504897,1,1
Hejin Huaxinyuan Steel & Iron Co Ltd,0.0,1,1208145259.4777637,1,1
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,0.0,1,452880777.8970651,1,1
Hebei YongYang Special Steel Group Co Ltd,0.0,1,364664534.1041899,1,1
Hebei Yanshan Iron and Steel Group Co Ltd,0.0,1,4245679723.9297485,1,1
Hebei Xinxing Ductile Iron Pipes Co Ltd,0.0,1,1570133414.6514165,1,1
Hebei Xinjin Iron and Steel Co Ltd,0.0,1,6917400988.421546,1,1
Inner Mongolia (Naiman) Jingan Non-ferrous Metal Materials Co Ltd,0.0,1,755333747.2342982,1,1
Huizhou Jushun Iron and Steel Plant,0.0,1,5079645602.338191,1,1
Hubei Wucheng Iron and Steel Group Co Ltd,0.0,1,14250230836.869875,1,1
Hubei Shunle Iron and Steel Co Ltd,0.0,1,96700424.06712171,1,1
Hubei Lijin Steel Group Co Ltd,0.0,1,728653447.9992169,1,1
Hubei Dazhan Steel & Iron Co Ltd,0.0,1,600972460.8080096,1,1
Huarui (Handan) Casting & Pipe Co Ltd,0.0,1,1340340843.3454995,1,1
Huangshi Xinxing Pipe Industry Co Ltd,0.0,1,4262753872.987659,1,1
Huangshi Xingang Heavy Industry Technology Co Ltd,0.0,1,69794425.23817413,1,1
Huainan Hongtai Steel Limited Liability Co,0.0,1,4888696838.2685,1,1
