GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,Total capacity (ttpa),Latitude,Longitude,Country_code,distance_degrees,litpop_index,LitPop_value,LitPop_latitude,LitPop_longitude,LitPop_region_id,LitPop_impf
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,安钢集团信阳钢铁有限责任公司,,,"Xinyang Iron & Steel Co.,ltd of Angang Group",安钢集团信阳钢铁有限责任公司,E100000127277,unknown,Partial,natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],E100000123261 [65.2%]; E100000127609 [15.8%]; E100000132388 [10.4%]; E100000125158 [8.6%],unknown [65.2%]; unknown [15.8%]; unknown [10.4%]; unknown [8.6%],No. 34 Xinmin Road,河南省信阳市平桥区明港镇新民路34号,Minggang,Henan,China,Asia Pacific,"32.4887040, 114.0382430",exact,https://www.gem.wiki/Angang_Group_Xinyang_Iron_and_Steel_Co_Ltd,55.0,unknown,unknown,1971,unknown,unknown,unknown,,,600.0,,finished rolled,"rebar, strip, billet, rounds, slab",unknown,3711,2022-11-01 00:00:00,2024-11-11 00:00:00,no,BF; BOF,unknown,unknown,unknown,600.0,32.488704,114.038243,CHN,0.030563035067178865,95076,382250327.83036226,32.45833333,114.04166667,156,1
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,联众(广州)不锈钢有限公司,"Angang Guangzhou Lianzhong Stainless Steel Co., Ltd., Ourgame (Guangzhou) Stainless Steel Co., Ltd.",鞍钢联众(广州)不锈钢有限公司,Angang Lianzhong Stainless Steel Corp,鞍钢联众（广州）不锈钢有限公司,E100000127397,unknown,,Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],E100000124667 [60.0%]; E100000130687 [18.2%]; E100000130686 [17.4%]; E100000132388 [4.4%],5037655487 [60.0%]; unknown [18.2%]; unknown [17.4%]; unknown [4.4%],No. 1 Lianguang Road,广东省广州市黄埔区开发大道联广路1号,Economic and Technological Development Zone,Guangdong,China,Asia Pacific,"23.1268220, 113.5058170",exact,https://www.gem.wiki/Angang_Lianzhong_Stainless_Steel_Co_Ltd,25.0,unknown,unknown,2001,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","plate, cold rolled, coil, billet, hot rolled",unknown,1764,2025-03-24 00:00:00,2025-09-17 00:00:00,no,EAF,Distributed Photovoltaic Power Generation,unknown,unknown,,23.126822,113.505817,CHN,0.03589594020372266,134526,23605391215.706425,23.125,113.54166667,156,1
P100000120219,Angang Steel Co Ltd,"鞍钢新轧钢股份有限公司, 鞍山制铁所, 昭和制钢所","Anshan Steel Works, Showa Steel Works (predecessors)",鞍钢股份有限公司,Angang Steel Co Ltd,鞍钢股份有限公司,E100000126769,unknown,,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],unknown [100.0%],No. 1 Huangang Road,辽宁省鞍山市铁西区环钢路1号,unknown,Liaoning,China,Asia Pacific,"41.1482670, 122.9830540",exact,https://www.gem.wiki/Angang_Steel_Co_Ltd,27.43,unknown,unknown,1998-09-14 00:00:00,unknown,unknown,unknown,,,,,finished rolled,"galvanized, plate, coated, pipe, cold rolled, hot rolled, wire","automotive, building and infrastructure, tools and machinery, transport",31456,2024-07-03 00:00:00,2024-07-03 00:00:00,no,BF; BOF; DRI,the world's first 180-megawatt split-type blast furnace gas combined cycle power generation,unknown,unknown,,41.148267,122.983054,CHN,0.033947972166956365,39980,44422407772.444046,41.125,122.95833333,156,1
P100000120220,Angang Steel Co Ltd Bayuquan branch,鞍钢股份有限公司鲅鱼圈钢铁分公司,"Angang Steel Co., Ltd. Bayuquan Steel Plant",鞍钢股份有限公司鲅鱼圈钢铁厂,Angang Steel Co Ltd,鞍钢股份有限公司,E100000126769,unknown,,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],unknown [100.0%],"Dadongtun Village, Haixing Office",辽宁省营口市鲅鱼圈区营口经济技术开发区海星办事处大董屯村,Yingkou Economic and Technological Development Zone,Liaoning,China,Asia Pacific,"40.3084940, 122.1307900",exact,https://www.gem.wiki/Angang_Steel_Co_Ltd_Bayuquan_branch,20.0,unknown,unknown,2006,unknown,unknown,unknown,,,,,finished rolled,"structural, plate",unknown,4072,no,no,no,BF; BOF,the world's first 180-megawatt split-type blast furnace gas combined cycle power generation,unknown,unknown,,40.308494,122.13079,CHN,0.017795593132265364,45754,6209926726.154055,40.29166667,122.125,156,1
P100000120070,Anhui Changjiang Steel Co Ltd,龙山桥钢铁总厂,Longshanqiao Iron and Steel Plant (predecessor),安徽长江钢铁股份有限公司,Anhui Changjiang Steel Co Ltd,安徽长江钢铁股份有限公司,E100000123155,unknown,,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],E100000123737 [55.0%]; E100000123261 [37.2%]; E100000132388 [7.8%],4295864332 [55.0%]; unknown [37.2%]; unknown [7.8%],Longshanqiao Industrial Park,马鞍山市当涂县龙山桥工业园,unknown,Anhui,China,Asia Pacific,"31.5022720, 118.4651620",exact,https://www.gem.wiki/Anhui_Changjiang_Steel_Co_Ltd,23.0,unknown,unknown,2003,unknown,unknown,unknown,,1375.0,,,finished rolled,"rebar, wire","building and infrastructure, transport",3705,2023-02-23 00:00:00,2024-12-27 00:00:00,no,BF; BOF; EAF,3.5 MW Rooftop Distributed Photovoltaic Power Generation,unknown,unknown,1375.0,31.502272,118.465162,CHN,0.0399821304882302,100761,2369022303.7466125,31.54166667,118.45833333,156,1
P100000120071,Anhui Guihang Special Steel Co Ltd,安徽省贵航特钢有限公司,,,Anhui Guihang Special Steel Co Ltd,安徽省贵航特钢有限公司,E100000126525,unknown,,Anhui Guihang Special Steel Co Ltd [100.0%],E100000126525 [100.0%],unknown [100.0%],"Qianjiang Industrial Concentration Zone, Niutoushan Town, Guichi District, Chizhou City, Anhui Province",安徽省池州市贵池区牛头山镇前江工业集中区,Chizhou,Anhui,China,Asia Pacific,"30.5310680, 117.2511470",exact,https://www.gem.wiki/Anhui_Guihang_Special_Steel_Co_Ltd,15.89,unknown,unknown,2010-04-01 00:00:00,unknown,unknown,unknown,,,,,finished rolled,rebar,unknown,3000,2022-10-21 00:00:00,2024-09-10 00:00:00,no,BF; BOF,"50MW coal gas waste heat power generation, 80MW coal gas waste heat power generation",unknown,unknown,,30.531068,117.251147,CHN,0.04188287791780053,106795,189683194.67400867,30.54166667,117.29166667,156,1
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,安徽金安不锈钢铸造有限公司,,,Anhui Jin'an Stainless Steel Foundry Co Ltd,安徽金安不锈钢铸造有限公司,E100000126390,unknown,,Anhui Xinda Steel Development Co Ltd [100.0%],E100000127607 [100.0%],unknown [100.0%],"Economic Development Zone, Jinzhai County, Lu'an City, Anhui Province",安徽省六安市金寨县经济开发区,Lu'an,Anhui,China,Asia Pacific,"31.7639560, 115.9243720",exact,https://www.gem.wiki/Anhui_Jin_an_Stainless_Steel_Casting_Co_Ltd,4.0,2021-09-01 00:00:00,unknown,2022,unknown,unknown,unknown,,,,,"semi-finished, finished rolled","billet, rebar",building and infrastructure,279,2023-06-06 00:00:00,2023-06-06 00:00:00,no,EAF,County Power Supply Company,unknown,unknown,,31.763956,115.924372,CHN,0.04383210201687396,99202,413630926.1177371,31.79166667,115.95833333,156,1
P100000120417,Anhui Jingxian Longxin Iron and Steel Co Ltd,安徽省泾县隆鑫钢铁有限公司,"Jingxian Longxin Foundry Co., Ltd.",泾县隆鑫铸造有限公司,Anhui Jingxian Longxin Iron and Steel Co Ltd,安徽省泾县隆鑫钢铁有限公司,E100000126157,unknown,,Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],E100000126157 [100.0%],unknown [100.0%],"No. 1 Zhangjiawa Road, Jingxian Economic Development District, Xuancheng City, Anhui Province",安徽省宣城市泾县经济开发区张家洼路1号,Xuancheng,Anhui,China,Asia Pacific,"30.7090580, 118.4366380",exact,https://www.gem.wiki/Anhui_Jingxian_Longxin_Iron_and_Steel_Co_Ltd,18.0,unknown,unknown,2008,unknown,unknown,unknown,,,,,finished rolled,rebar,unknown,454,2023-09-27 00:00:00,2025-04-10 00:00:00,no,EAF,5.9 MW roof photovoltaic power generation-Phase I,unknown,unknown,,30.709058,118.436638,CHN,0.02170742938299699,105825,271114715.91688704,30.70833333,118.45833333,156,1
P100000120402,Anhui Langxi Hongtai Iron and Steel Co Ltd,安徽省郎溪县鸿泰钢铁有限公司,,,Anhui Langxi County Fuhang Steel Co Ltd,安徽省郎溪县鸿泰钢铁有限公司,E100000126133,unknown,,Anhui Langxi County Fuhang Steel Co Ltd [100.0%],E100000126133 [100.0%],unknown [100.0%],"Gaojia Village, Xinfa Town, Langxi County, Xuancheng City, Anhui Province",安徽省宣城市郎溪县新发镇高家村,Xuancheng,Anhui,China,Asia Pacific,"31.2466350, 119.1204430",exact,https://www.gem.wiki/Anhui_Langxi_Hongtai_Iron_and_Steel_Co_Ltd,24.0,unknown,unknown,2002,unknown,unknown,unknown,,,,,finished rolled,rebar,building and infrastructure,541,2023-03-28 00:00:00,2025-04-18 00:00:00,no,EAF,Langxi Power Grid,unknown,unknown,,31.246635,119.120443,CHN,0.03857180542558462,102806,86904812.1034762,31.20833333,119.125,156,1
P100001025923,Anhui Lixin Special Steel Co Ltd,安徽省力鑫特钢有限公司,,,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",,E100002005337,unknown,,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd [100.0%]",E100002005337 [100.0%],unknown [100.0%],"Guangan Road, Xinhang Town Economic Development Zone",安徽省广德市新杭镇经济开发区广安路,Guangde,Anhui,China,Asia Pacific,"31.0494162, 119.5296269",exact,https://www.gem.wiki/Anhui_Lixin_Special_Steel_Co_Ltd,14.24,unknown,unknown,2011-11-25 00:00:00,unknown,unknown,unknown,,,,,"crude, semi-finished","steel billets, hot-rolled rebar",unknown,335,2025-06-25 00:00:00,2024-09-18 00:00:00,no,EAF,unknown,unknown,unknown,,31.0494162,119.5296269,CHN,0.014318214863375962,103829,60598213.36689451,31.04166667,119.54166667,156,1
